id,web_name,first_name,second_name,team,element_type,now_cost,cost_change_start,cost_change_event,status,chance_of_playing_next_round,news,news_added,form,total_points,points_per_game,minutes,starts,selected_by_percent,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,value_season,ep_this,ep_next
1,Raya,David,Raya Martín,1,1,60,0,0,a,,,,6.0,30,6.0,377,5,41.6,22484,2298,0,0,3,1,0,0,8,3,105,84.0,0.2,0.0,8.5,0.00,0.01,0.01,0.0,0.0,0.0,0.68,0,0.0,,,,5.0,6.0,6.0
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,1,49,-1,0,a,,,,0.0,0,0.0,0,0,0.1,17,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
3,Meslier,Illan,Meslier,1,1,49,-1,0,a,,,,0.0,0,0.0,0,0,0.0,5,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
4,Gabriel,Gabriel,dos Santos Magalhães,1,2,80,0,0,a,,,,5.0,25,5.0,377,5,23.1,2440,8176,0,0,3,1,2,0,0,2,86,69.0,8.9,84.0,16.1,0.51,0.06,0.57,0.12,0.01,0.13,0.68,34,8.12,,,,3.1,5.0,5.0
5,J.Timber,Jurriën,Timber,1,2,65,0,0,a,100,,2026-07-23T12:01:23.272929Z,0.4,2,1.0,62,1,0.3,1581,275,0,0,0,0,0,0,0,0,6,6.0,1.9,0.0,0.8,0.00,0.01,0.01,0.0,0.01,0.01,2.44,4,5.81,,,,0.3,0.4,0.4
6,Saliba,William,Saliba,1,2,59,-1,0,i,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0.0,0,0.0,0,0,0.2,39,154,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
7,Lewis-Skelly,Myles,Lewis-Skelly,1,3,55,0,0,a,,,,1.8,9,2.2,271,4,0.6,143,540,0,0,2,1,0,0,0,0,37,21.6,40.2,16.0,7.0,0.16,0.23,0.39,0.05,0.08,0.13,0.34,14,4.65,,,,1.6,1.8,1.8
8,Calafiori,Riccardo,Calafiori,1,2,58,3,0,a,,,,5.8,29,5.8,343,5,50.8,10527,3411,0,2,3,1,0,0,0,2,81,60.4,29.0,46.0,13.6,0.60,0.59,1.19,0.16,0.15,0.31,0.67,15,3.94,,,,5.0,5.8,5.8
9,Hincapie,Piero,Hincapié,1,2,53,-2,0,a,,,,0.4,2,1.0,32,0,0.9,169,604,0,0,0,0,0,0,0,0,6,6.4,1.0,2.0,1.0,0.00,0.00,0.00,0.0,0.0,0.0,0.79,3,8.44,,,,0.4,0.4,0.4
10,White,Benjamin,White,1,2,55,0,0,a,100,,2026-09-15T19:30:09.494382Z,4.2,21,5.2,315,4,5.5,1127,7501,0,1,2,1,0,0,0,3,78,69.6,53.0,29.0,15.2,0.18,0.29,0.47,0.05,0.08,0.13,0.33,18,5.14,,,,3.8,4.2,4.2
